year,city,GDP,primary_GDP,secondary_GDP,tertiary_GDP,real_estate,population,population_re
2021,Zibo,42010000,1810631.0,20731935.0,19471635.0,3742557,433.8,434.0
2020,Zibo,36730000,1568371.0,17769974.0,17391655.0,3441747,433.9,434.0
2019,Zibo,36420000,1489578.0,18180864.0,16749558.0,3133055,434.0,434.0
2018,Zibo,50683500,1459684.8,26401035.15,22827848.4,2694898,434.0,434.0
2017,Zibo,47713600,1484296.11,24777631.82,21142406.25,2418498,433.0,433.0
2016,Zibo,44120100,1508907.42,23154228.48,19456964.1,2218211,431.0,432.0
2015,Zibo,41302400,1449714.24,22286775.04,17565910.72,2276877,428.8,429.6
2014,Zibo,40297668,1402358.846,22474009.44,16421299.71,2361984,426.7,428.0
2013,Zibo,38012400,1376048.88,21712682.88,14919867.0,2003746,424.5,425.3
2012,Zibo,35572100,1237909.08,21012439.47,13321751.45,1556638,423.8,423.7
2011,Zibo,32802300,1167761.88,19753545.06,11880993.06,1971800,423.1,423.8
2010,Zibo,28667500,1052097.25,17664913.5,9947622.5,1669883,421.9,422.36
2009,Zibo,24452800,877855.52,15358803.68,8216140.8,1406086,421.0,421.41
2008,Zibo,23167800,822456.9,15003467.28,7341875.82,1216208,419.5,420.62
2007,Zibo,19450200,742997.64,12564829.2,6142373.16,1056771,418.1,419.59
2006,Zibo,16451600,626805.96,10790604.44,5034189.6,970763,416.6,418.13
2005,Zibo,14309500,599568.05,9557315.05,4151185.95,773468,415.1,416.77
2004,Zibo,12309600,540391.44,7969235.04,3799973.52,571663,413.6,414.99
2003,Zibo,10033800,492659.58,6119614.62,3421525.8,363655,412.2,413.14
2002,Zibo,7800000,483600.0,4528680.0,2787720.0,254578,410.7,412.03
2001,Zibo,7020900,474612.84,4061590.65,2485398.6,132530,409.2,410.49
2021,Zaozhuang,19520000,1860256.0,7950496.0,9699488.0,3233576,431.1,426.0
2020,Zaozhuang,17330000,1660214.0,7039446.0,8630340.0,2888501,427.2,425.0
2019,Zaozhuang,16940000,1588972.0,7370594.0,7980434.0,2574935,423.0,424.0
2018,Zaozhuang,24023800,1568754.14,12196883.26,10258162.6,2438241,418.0,423.0
2017,Zaozhuang,23036700,1594292.533,11587868.66,9541834.993,1681671,416.0,418.0
2016,Zaozhuang,21426335,1619830.926,10978854.05,8825507.386,1589165,411.0,413.0
2015,Zaozhuang,20310028,1541531.125,10701353.75,8067143.122,1866378,405.6,407.77
2014,Zaozhuang,19801306,1477177.428,10758049.55,7566079.023,2157016,398.6,401.3
2013,Zaozhuang,18306300,1497455.34,10376010.84,6432833.82,2203557,395.4,396.0
2012,Zaozhuang,17029205,1329980.91,9912700.231,5786523.859,1785576,394.5,394.8
2011,Zaozhuang,15616815,1263400.334,9202989.08,5148863.906,1368461,394.1,394.2
2010,Zaozhuang,13620361,1175437.154,8183112.889,4260448.921,779966,388.9,391.03
2009,Zaozhuang,11960414,1038163.935,7444161.674,3478088.391,681366,385.0,386.79
2008,Zaozhuang,10928300,960597.57,6861879.57,3105822.86,393949,381.8,383.24
2007,Zaozhuang,9255606,806163.283,5909704.431,2539738.286,347391,378.6,380.19
2006,Zaozhuang,7599500,684714.95,4827962.35,2086822.7,246510,375.3,371.97
2005,Zaozhuang,6333500,625116.45,4011005.55,1698011.35,231436,372.1,367.27
2004,Zaozhuang,5033100,545084.73,3088310.16,1400208.42,203425,368.9,365.09
2003,Zaozhuang,3832400,467552.8,2161090.36,1203756.84,148758,365.6,363.76
2002,Zaozhuang,3138600,457607.88,1622028.48,1058963.64,92667,362.4,362.25
2001,Zaozhuang,2768000,437897.6,1382339.2,947486.4,72811,359.2,360.32
2021,Taian,29970000,3269727.0,11661327.0,15029955.0,2785366,574.6,569.0
2020,Taian,27660000,3001110.0,10801230.0,13860426.0,2394848,573.9,571.0
2019,Taian,26640000,2887776.0,10362960.0,13386600.0,2058881,573.0,573.0
2018,Taian,36515300,2855496.46,16150717.19,17509086.35,1777039,572.0,573.0
2017,Taian,35783900,2832408.795,15503309.8,16505881.41,1630923,570.0,571.0
2016,Taian,33167900,2809321.13,14855902.41,15502676.46,1810897,567.0,569.0
2015,Taian,31583900,2694106.67,14617028.92,14272764.41,1451549,564.0,565.71
2014,Taian,30021852,2602894.568,14299408.11,13119549.32,1430883,560.6,562.3
2013,Taian,27907000,2600932.4,13677220.7,11628846.9,1262055,558.8,558.8
2012,Taian,25470100,2330514.15,12905699.67,10233886.18,1089384,559.2,558.9
2011,Taian,23043100,2149921.23,12028498.2,8864680.57,861469,558.3,559.5
2010,Taian,20516800,1953199.36,10994953.12,7568647.52,750975,556.4,557.01
2009,Taian,17156630,1703653.359,9352079.013,6102613.291,521644,555.3,555.83
2008,Taian,15133000,1610151.2,8392761.8,5128573.7,438807,553.6,554.72
2007,Taian,12261100,1327877.13,6884607.65,4048615.22,342397,551.9,552.6
2006,Taian,10181800,1162761.56,5722171.6,3296866.84,225509,550.3,551.7
2005,Taian,8556600,1082409.9,4778861.1,2695329.0,305162,548.6,550.78
2004,Taian,7321100,938565.02,3861148.14,2521386.84,214964,546.9,549.95
2003,Taian,6040700,808849.73,3045116.87,2186733.4,150760,545.3,547.65
2002,Taian,5152000,757859.2,2462140.8,1932000.0,62422,543.6,546.41
2001,Taian,4480200,741025.08,2018778.12,1719948.78,55292,541.9,543.08
2021,Linyi,54660000,4837410.0,21169818.0,28647306.0,7857796,1210.7,1201.0
2020,Linyi,48050000,4410990.0,17562275.0,26081540.0,6845531,1198.0,1195.5
2019,Linyi,46000000,4094000.0,17424800.0,24481200.0,5955414,1185.0,1190.0
2018,Linyi,47178000,3698755.2,20286540.0,23192704.8,5356023,1171.0,1180.0
2017,Linyi,43301100,3643294.725,18824943.0,21254512.28,4075624,1151.0,1162.0
2016,Linyi,40267500,3587834.25,17363346.0,19316319.75,3745021,1132.0,1141.0
2015,Linyi,37631700,3465879.57,16870291.11,17295529.32,3924634,1186.3,1124.04
2014,Linyi,35698000,3409159.0,16488906.2,15799934.8,3709192,1101.8,1113.2
2013,Linyi,33368100,3156622.26,15839837.07,14371640.67,3005427,1087.1,1090.4
2012,Linyi,30128100,2913387.27,14633218.17,12581494.56,2335234,1082.4,1083.8
2011,Linyi,27704500,2789843.15,13821775.05,11092881.8,1907767,1076.8,1081.0
2010,Linyi,23999900,2639989.0,12062349.74,9297561.26,1582294,1004.8,1072.69
2009,Linyi,20691100,2503623.1,10449005.5,7736402.29,1463814,1038.0,1041.54
2008,Linyi,19582000,2359631.0,10016193.0,7206176.0,1190016,1033.7,1034.47
2007,Linyi,16604600,2065612.24,8473327.38,6065660.38,670899,1029.3,1027.5
2006,Linyi,14048600,1786981.92,7308081.72,4953536.36,502040,1025.0,1022.73
2005,Linyi,12117800,1669832.84,6329126.94,4117628.44,363698,1020.7,1018.63
2004,Linyi,10120000,1470436.0,5309964.0,3339600.0,260550,1016.3,1015.04
2003,Linyi,8346000,1246057.8,4122924.0,2977018.2,232469,1012.0,1011.05
2002,Linyi,7021300,1196429.52,3353372.88,2471497.6,154273,1007.7,1008.45
2001,Linyi,6231500,1167783.1,2973048.65,2090668.25,119164,1003.3,1005.25
2021,Dezhou,34890000,3670428.0,14350257.0,16869315.0,4973464,602.5,596.0
2020,Dezhou,30790000,3269898.0,12359106.0,15160996.0,4196505,600.3,597.5
2019,Dezhou,30220000,3118704.0,12638004.0,14466314.0,3536195,598.0,599.0
2018,Dezhou,33803000,3201144.1,16127411.3,14474444.6,2992822,597.0,598.0
2017,Dezhou,31416600,3081732.0,15079417.73,13405300.27,2385157,594.0,595.0
2016,Dezhou,29329900,2962319.9,14031424.16,12336155.94,2203755,590.0,593.0
2015,Dezhou,27509400,2836219.14,13578639.84,11091790.08,2145748,585.2,587.27
